reaction_id,reaction_name,Reactant,Product,reaction,R1,R2,R3,condition,source,chapter
2-001,Acidic cleavage of dialkyl ethers with hydrogen halides,[R1a]O[R2b].[XH],[R2b][X],[R1a]O[R2b].[XH]>>[R2b][X],methyl;primary;secondary,methyl;primary;secondary;tertiary,,130-140 °C,library_1270_chapter_templates.json,2
2-002,Radical halogenation of alkanes,[R1a].[X][X],[R1a][X],[R1a].[X][X]>>[R1a][X],primary;secondary;tertiary,,,"Br2 | hv | light or 250 °C above | Br2, hv",library_1270_chapter_templates.json,2
2-003,Radical bromination of pentane at a secondary carbon,BrBr.CCCCC,CCC(Br)CC,BrBr.CCCCC>>CCC(Br)CC,,,,Br2,normalized_template_witnesses.json,2
2-004,Radical bromination of 3-methylpentane at the tertiary carbon,BrBr.CCC(C)CC,CCC(C)(Br)CC,BrBr.CCC(C)CC>>CCC(C)(Br)CC,,,,Br2,normalized_template_witnesses.json,2
4-001,Dehydrohalogenation of vinyl halides to alkynes,[X]C([R1a])=[R2b],C([R1a])#[R2b],[X]C([R1a])=[R2b]>>C([R1a])#[R2b],methyl,primary,,"KOH (conc.) (strong base), heat",library_1270_chapter_templates.json,4
4-002,Double dehydrohalogenation of vicinal dihalides to alkynes,[X]C(C([X])[R1a])[R1b],C(#C[R1a])[R1b],[X]C(C([X])[R1a])[R1b]>>C(#C[R1a])[R1b],methyl,,,"KOH, C4H9OH",library_1270_chapter_templates.json,4
4-003,Double dehydrohalogenation of alkenyl dihalides to enynes,C(C(C[X])[X])=[R1a],C=CC#[R1a],C(C(C[X])[X])=[R1a]>>C=CC#[R1a],methyl,,,"CH3CH2ONa,CH3CH2OH, heat",library_1270_chapter_templates.json,4
4-004,Dehydrohalogenation of bromoalkenes to internal alkynes,CCC=C(C)Br,CC#CCC,CCC=C(C)Br>>CC#CCC,,,,"KOH (conc.) (strong base), heat",normalized_template_witnesses.json,4
4-005,Nucleophilic aromatic substitution of aryl halides by hydroxide,[R1a][X].O,[R1a]O,[R1a][X].O>>[R1a]O,aryl,,,"1) 15% NaOH, 160 °C; 2) H+ | H2O, heating",library_1270_chapter_templates.json,4
4-006,Conjugate addition of lithium dialkylcuprates to enones,O=C(C=C([R1a])[R1b])[R1c].[Cu-]([R2d])[R2e],O=C(CC([R2e])([R1a])[R1b])[R1c],O=C(C=C([R1a])[R1b])[R1c].[Cu-]([R2d])[R2e]>>O=C(CC([R2e])([R1a])[R1b])[R1c],methyl,primary,,CuI,library_1270_chapter_templates.json,4
4-007,Copper-mediated conjugate addition of ethyllithium to enones,O=C(C=C([R1a])[R1b])[R1c].[Li]CC,CCC(CC(=O)[R1c])([R1a])[R1b],O=C(C=C([R1a])[R1b])[R1c].[Li]CC>>CCC(CC(=O)[R1c])([R1a])[R1b],methyl,,,CuI,library_1270_chapter_templates.json,4
4-008,"1,2-Addition of organolithium reagents to aldehydes and ketones",O=C([R1a])[R2b].[R3c][Li],OC([R1a])([R2b])[R3c],O=C([R1a])[R2b].[R3c][Li]>>OC([R1a])([R2b])[R3c],H;methyl;alkenyl,methyl;alkenyl,methyl;primary;secondary;tertiary;aryl,,library_1270_chapter_templates.json,4
4-009,"1,2-Addition of Grignard reagents to aldehydes and ketones",O=C([R1a])[R2b].[R3c][Mg][X],OC([R3c])([R1a])[R2b],O=C([R1a])[R2b].[R3c][Mg][X]>>OC([R3c])([R1a])[R2b],H;methyl;primary,H;methyl;primary;aryl;alkenyl,methyl;primary;secondary;tertiary;aryl,Base | Et2O | Base | CH3CH2MgBr,library_1270_chapter_templates.json,4
4-010,Addition of organolithium reagents to acetate derivatives for ketone synthesis,CC(=O)O.[Li]C[R1a],CCC(=O)[R1a],CC(=O)O.[Li]C[R1a]>>CCC(=O)[R1a],methyl,,,,library_1270_chapter_templates.json,4
